Instrument, start, stop, mode, power, data_rate
SIXS,2025-04-01 10:10,2025-04-01 10:13, On, 10.2 W, 205 Kbit/s
SIXS,2025-04-01 10:15,2025-04-01 10:22, On, 10.2 W, 205 Kbit/s
PHEBUS,2025-04-01 10:16,2025-04-01 10:31, Calibration, 7.3 W, 90 Kbits/s
SIXS,2025-04-01 10:25,2025-04-01 10:37, On, 10.2 W, 205 Kbit/s
MERTIS,2025-04-01 10:30,2025-04-01 10:35, On, 14.2 W, 400 Kbit/s
MGNS,2025-04-01 10:31,2025-04-01 10:32, Standby, 9.7 W, 120 Kbit/s
PHEBUS,2025-04-01 10:36,2025-04-01 10:38, Calibration, 7.3 W, 90 Kbits/s
MERTIS,2025-04-01 10:37,2025-04-01 10:41, On, 14.2 W, 400 Kbit/s
MGNS,2025-04-01 10:38,2025-04-01 10:43, Standby, 9.7 W, 120 Kbit/s
PHEBUS,2025-04-01 10:42,2025-04-01 10:47, Calibration, 7.3 W, 90 Kbits/s
SIXS,2025-04-01 10:43,2025-04-01 11:01, On, 10.2 W, 205 Kbit/s
MERTIS,2025-04-01 10:48,2025-04-01 10:53, On, 14.2 W, 400 Kbit/s
MGNS,2025-04-01 10:49,2025-04-01 10:56, Standby, 9.7 W, 120 Kbit/s
PHEBUS,2025-04-01 10:51,2025-04-01 10:55, Calibration, 7.3 W, 90 Kbits/s
MERTIS,2025-04-01 10:54,2025-04-01 11:06, On, 14.2 W, 400 Kbit/s
PHEBUS,2025-04-01 10:58,2025-04-01 11:02, Calibration, 7.3 W, 90 Kbits/s
MGNS,2025-04-01 10:59,2025-04-01 11:12, Standby, 9.7 W, 120 Kbit/s
