#
# Output Filename: state_params.out
# Generation Time: 25-November-2013_15:18:01 (UTC)
# File Contents:   State Parameters Table
#
# EPS Version:     v2.5.8
#
# CFG Template:    v3.19
# EDF Template:    v3.12
# ITL Template:    v3.10
# EVF Template:    v3.1
#
# POR Definition:  CRID issue C4
# EVF (ESOC FD):   DDID appendix-H v2.1
#
# Input Timeline:  BC_SO10_FULL_________ITL_GEN_1A.itl
# Input CFG:       eps_mac.cfg
# Input EDF:       bepi.edf
# MDB version:     SISBCETB "ETB (1, 0, 38)"
# Input EVF:       bepi_events_mpo_00012.evf
#

Ref_date: 7-May-2024

Elapsed time             MERTIS          MERTIS   SIMBIOSYS_STC  SIMBIOSYS_HRIC  SIMBIOSYS_VIHI  SIMBIOSYS_VIHI
ddd_hh:mm:ss          MERTIS_DR      MERTIS_PWR      CURRENT_DR  HRIC_DATA_RATE  VIHI_DATA_RATE      VIHI_POWER
---------------------------------------------------------------------------------------------------------------
000_00:00:00                  0               1               0            1000               0               1
000_02:32:40                  0               1           15600            1000               0               1
000_02:35:30                  0               1           15600            1000               0               1
000_02:41:50                  0               1           15600            1000             126               1
000_02:43:50                  0               1           40420            1000             126               1
000_02:47:50                  0               1           40420            1000              82               1
000_02:48:50                  0               1           69400            1000              82               1
000_02:52:50                  0               1           69400            1000             102               1
000_02:53:30                  0               1          133340            1000             102               1
000_03:10:50                  0               1           69400            1000             102               1
000_03:11:30                  0               1           69400            1000              82               1
000_03:15:20                  0               1           40420            1000              82               1
000_03:16:10                  0               1           40420            1000             126               1
000_03:19:50                  0               1           15600            1000             126               1
000_03:21:50                  0               1           15600            1000             102               1
000_03:25:20                  0               1           15600            1000             182               1
000_03:27:30                  0               1           15600            1000             182               1
000_03:31:00                  0               1               0            1000             182               1
000_04:54:30                  0               1           15600            1000             182               1
000_04:57:10                  0               1           15600            1000             182               1
000_04:59:30                  0               1           15600            1000             102               1
000_05:03:30                  0               1           15600            1000             126               1
000_05:05:30                  0               1           40420            1000             126               1
000_05:09:40                  0               1           40420            1000              82               1
000_05:10:30                  0               1           69400            1000              82               1
000_05:14:40                  0               1           69400            1000             102               1
000_05:15:10                  0               1          133340            1000             102               1
000_05:32:40                  0               1           69400            1000             102               1
000_05:33:10                  0               1           69400            1000              82               1
000_05:37:00                  0               1           40420            1000              82               1
000_05:38:00                  0               1           40420            1000             126               1
000_05:41:40                  0               1           15600            1000             126               1
000_05:49:10                  0               1           15600            1000             126               1
000_05:52:40                  0               1               0            1000             126               1
000_07:16:10                  0               1           15600            1000             126               1
000_07:18:50                  0               1           15600            1000             126               1
000_07:25:10                  0               1           15600            1000             126               1
000_07:27:20                  0               1           40420            1000             126               1
000_07:31:20                  0               1           40420            1000              82               1
000_07:32:20                  0               1           69400            1000              82               1
000_07:36:20                  0               1           69400            1000             102               1
000_07:37:00                  0               1          133340            1000             102               1
000_07:54:20                  0               1           69400            1000             102               1
000_07:55:00                  0               1           69400            1000              82               1
000_07:58:50                  0               1           40420            1000              82               1
000_07:59:40                  0               1           40420            1000             126               1
000_08:03:20                  0               1           15600            1000             126               1
000_08:05:10                  0               1           15600            1000             102               1
000_08:08:50                  0               1           15600            1000             182               1
000_08:10:50                  0               1           15600            1000             182               1
000_08:14:20                  0               1               0            1000             182               1
000_09:37:50                  0               1           15600            1000             182               1
000_09:40:40                  0               1           15600            1000             182               1
000_09:43:00                  0               1           15600            1000             102               1
000_09:47:00                  0               1           15600            1000             126               1
000_09:49:00                  0               1           40420            1000             126               1
000_09:53:00                  0               1           40420            1000              82               1
000_09:54:00                  0               1           69400            1000              82               1
000_09:58:10                  0               1           69400            1000             102               1
000_09:58:40                  0               1          133340            1000             102               1
000_10:16:00                  0               1           69400            1000             102               1
000_10:16:40                  0               1           69400            1000              82               1
000_10:20:30                  0               1           40420            1000              82               1
000_10:21:20                  0               1           40420            1000             126               1
000_10:25:00                  0               1           15600            1000             126               1
000_10:32:40                  0               1           15600            1000             126               1
000_10:36:10                  0               1               0            1000             126               1
000_11:59:40                  0               1           15600            1000             126               1
000_12:02:20                  0               1           15600            1000             126               1
000_12:08:40                  0               1           15600            1000             126               1
000_12:10:50                  0               1           40420            1000             126               1
000_12:14:50                  0               1           40420            1000              82               1
000_12:15:40                  0               1           69400            1000              82               1
000_12:19:50                  0               1           69400            1000             102               1
000_12:20:30                  0               1          133340            1000             102               1
000_12:37:50                  0               1           69400            1000             102               1
000_12:38:20                  0               1           69400            1000              82               1
000_12:42:10                  0               1           40420            1000              82               1
000_12:43:10                  0               1           40420            1000             126               1
000_12:46:50                  0               1           15600            1000             126               1
000_12:48:40                  0               1           15600            1000             102               1
000_12:52:20                  0               1           15600            1000             182               1
000_12:54:20                  0               1           15600            1000             182               1
000_12:57:50                  0               1               0            1000             182               1
000_14:21:20                  0               1           15600            1000             182               1
000_14:24:10                  0               1           15600            1000             182               1
000_14:26:20                  0               1           15600            1000             102               1
000_14:30:20                  0               1           15600            1000             126               1
000_14:32:30                  0               1           40420            1000             126               1
000_14:36:30                  0               1           40420            1000              82               1
000_14:37:30                  0               1           69400            1000              82               1
000_14:41:30                  0               1           69400            1000             102               1
000_14:42:10                  0               1          133340            1000             102               1
000_14:59:30                  0               1           69400            1000             102               1
000_15:00:10                  0               1           69400            1000              82               1
000_15:04:00                  0               1           40420            1000              82               1
000_15:04:50                  0               1           40420            1000             126               1
000_15:08:30                  0               1           15600            1000             126               1
000_15:16:00                  0               1           15600            1000             126               1
000_15:19:30                  0               1               0            1000             126               1
000_16:43:00                  0               1           15600            1000             126               1
000_16:45:50                  0               1           15600            1000             126               1
000_16:52:10                  0               1           15600            1000             126               1
000_16:54:10                  0               1           40420            1000             126               1
000_16:58:10                  0               1           40420            1000              82               1
000_16:59:10                  0               1           69400            1000              82               1
000_17:03:20                  0               1           69400            1000             102               1
000_17:03:50                  0               1          133340            1000             102               1
000_17:21:20                  0               1           69400            1000             102               1
000_17:21:50                  0               1           69400            1000              82               1
000_17:25:40                  0               1           40420            1000              82               1
000_17:26:30                  0               1           40420            1000             126               1
000_17:30:10                  0               1           15600            1000             126               1
000_17:32:10                  0               1           15600            1000             102               1
000_17:35:50                  0               1           15600            1000             182               1
000_17:37:50                  0               1           15600            1000             182               1
000_17:41:20                  0               1               0            1000             182               1
000_19:04:50                  0               1           15600            1000             182               1
000_19:07:30                  0               1           15600            1000             182               1
000_19:09:50                  0               1           15600            1000             102               1
000_19:13:50                  0               1           15600            1000             126               1
000_19:16:00                  0               1           40420            1000             126               1
000_19:20:00                  0               1           40420            1000              82               1
000_19:21:00                  0               1           69400            1000              82               1
000_19:25:00                  0               1           69400            1000             102               1
000_19:25:40                  0               1          133340            1000             102               1
000_19:43:00                  0               1           69400            1000             102               1
000_19:43:30                  0               1           69400            1000              82               1
000_19:47:20                  0               1           40420            1000              82               1
000_19:48:20                  0               1           40420            1000             126               1
000_19:52:00                  0               1           15600            1000             126               1
000_19:59:30                  0               1           15600            1000             126               1
000_20:03:00                  0               1               0            1000             126               1
000_21:26:30                  0               1           15600            1000             126               1
000_21:29:20                  0               1           15600            1000             126               1
000_21:35:30                  0               1           15600            1000             126               1
000_21:37:40                  0               1           40420            1000             126               1
000_21:41:40                  0               1           40420            1000              82               1
000_21:42:40                  0               1           69400            1000              82               1
000_21:46:40                  0               1           69400            1000             102               1
000_21:47:20                  0               1          133340            1000             102               1
000_22:04:40                  0               1           69400            1000             102               1
000_22:05:20                  0               1           69400            1000              82               1
000_22:09:10                  0               1           40420            1000              82               1
000_22:10:00                  0               1           40420            1000             126               1
000_22:13:40                  0               1           15600            1000             126               1
000_22:15:40                  0               1           15600            1000             102               1
000_22:19:10                  0               1           15600            1000             182               1
000_22:21:20                  0               1           15600            1000             182               1
000_22:24:50                  0               1               0            1000             182               1
000_23:48:10                  0               1           15600            1000             182               1
000_23:51:00                  0               1           15600            1000             182               1
000_23:53:20                  0               1           15600            1000             102               1
000_23:57:20                  0               1           15600            1000             126               1
000_23:59:20                  0               1           40420            1000             126               1
001_00:03:20                  0               1           40420            1000              82               1
001_00:04:20                  0               1           69400            1000              82               1
001_00:08:30                  0               1           69400            1000             102               1
001_00:09:00                  0               1          133340            1000             102               1
001_00:26:30                  0               1           69400            1000             102               1
001_00:27:00                  0               1           69400            1000              82               1
001_00:30:50                  0               1           40420            1000              82               1
001_00:31:40                  0               1           40420            1000             126               1
001_00:35:30                  0               1           15600            1000             126               1
001_00:43:00                  0               1           15600            1000             126               1
001_00:46:30                  0               1               0            1000             126               1
001_02:10:00                  0               1           15600            1000             126               1
001_02:12:40                  0               1           15600            1000             126               1
001_02:19:00                  0               1           15600            1000             126               1
001_02:21:10                  0               1           40420            1000             126               1
001_02:25:10                  0               1           40420            1000              82               1
001_02:26:10                  0               1           69400            1000              82               1
001_02:30:10                  0               1           69400            1000             102               1
001_02:30:50                  0               1          133340            1000             102               1
001_02:48:10                  0               1           69400            1000             102               1
001_02:48:40                  0               1           69400            1000              82               1
001_02:52:30                  0               1           40420            1000              82               1
001_02:53:30                  0               1           40420            1000             126               1
001_02:57:10                  0               1           15600            1000             126               1
001_02:59:00                  0               1           15600            1000             102               1
001_03:02:40                  0               1           15600            1000             182               1
001_03:04:40                  0               1           15600            1000             182               1
001_03:08:10                  0               1               0            1000             182               1
001_04:31:40                  0               1           15600            1000             182               1
001_04:34:30                  0               1           15600            1000             182               1
001_04:36:40                  0               1           15600            1000             102               1
001_04:40:50                  0               1           15600            1000             126               1
001_04:42:50                  0               1           40420            1000             126               1
001_04:46:50                  0               1           40420            1000              82               1
001_04:47:50                  0               1           69400            1000              82               1
001_04:51:50                  0               1           69400            1000             102               1
001_04:52:30                  0               1          133340            1000             102               1
001_05:09:50                  0               1           69400            1000             102               1
001_05:10:30                  0               1           69400            1000              82               1
001_05:14:20                  0               1           40420            1000              82               1
001_05:15:10                  0               1           40420            1000             126               1
001_05:18:50                  0               1           15600            1000             126               1
001_05:26:30                  0               1           15600            1000             126               1
001_05:30:00                  0               1               0            1000             126               1
001_06:53:30                  0               1           15600            1000             126               1
001_06:56:10                  0               1           15600            1000             126               1
001_07:02:30                  0               1           15600            1000             126               1
001_07:04:30                  0               1           40420            1000             126               1
001_07:08:40                  0               1           40420            1000              82               1
001_07:09:30                  0               1           69400            1000              82               1
001_07:13:40                  0               1           69400            1000             102               1
001_07:14:10                  0               1          133340            1000             102               1
001_07:31:40                  0               1           69400            1000             102               1
001_07:32:10                  0               1           69400            1000              82               1
001_07:36:00                  0               1           40420            1000              82               1
001_07:37:00                  0               1           40420            1000             126               1
001_07:40:40                  0               1           15600            1000             126               1
001_07:42:30                  0               1           15600            1000             102               1
001_07:46:10                  0               1           15600            1000             182               1
001_07:48:10                  0               1           15600            1000             182               1
001_07:51:40                  0               1               0            1000             182               1
001_09:15:10                  0               1           15600            1000             182               1
001_09:17:50                  0               1           15600            1000             182               1
001_09:20:10                  0               1           15600            1000             102               1
001_09:24:10                  0               1           15600            1000             126               1
001_09:26:20                  0               1           40420            1000             126               1
001_09:30:20                  0               1           40420            1000              82               1
001_09:31:20                  0               1           69400            1000              82               1
001_09:35:20                  0               1           69400            1000             102               1
001_09:36:00                  0               1          133340            1000             102               1
001_09:53:20                  0               1           69400            1000             102               1
001_09:54:00                  0               1           69400            1000              82               1
001_09:57:40                  0               1           40420            1000              82               1
001_09:58:40                  0               1           40420            1000             126               1
001_10:02:20                  0               1           15600            1000             126               1
001_10:09:50                  0               1           15600            1000             126               1
001_10:13:20                  0               1               0            1000             126               1
001_11:36:50                  0               1           15600            1000             126               1
001_11:39:40                  0               1           15600            1000             126               1
001_11:46:00                  0               1           15600            1000             126               1
001_11:48:00                  0               1           40420            1000             126               1
001_11:52:00                  0               1           40420            1000              82               1
001_11:53:00                  0               1           69400            1000              82               1
001_11:57:00                  0               1           69400            1000             102               1
001_11:57:40                  0               1          133340            1000             102               1
001_12:15:00                  0               1           69400            1000             102               1
001_12:15:40                  0               1           69400            1000              82               1
001_12:19:30                  0               1           40420            1000              82               1
001_12:20:20                  0               1           40420            1000             126               1
001_12:24:00                  0               1           15600            1000             126               1
001_12:26:00                  0               1           15600            1000             102               1
001_12:29:30                  0               1           15600            1000             182               1
001_12:31:40                  0               1           15600            1000             182               1
001_12:35:10                  0               1               0            1000             182               1
001_13:58:40                  0               1           15600            1000             182               1
001_14:01:20                  0               1           15600            1000             182               1
001_14:03:40                  0               1           15600            1000             102               1
001_14:07:40                  0               1           15600            1000             126               1
001_14:09:50                  0               1           40420            1000             126               1
001_14:13:50                  0               1           40420            1000              82               1
001_14:14:40                  0               1           69400            1000              82               1
001_14:18:50                  0               1           69400            1000             102               1
001_14:19:30                  0               1          133340            1000             102               1
001_14:36:50                  0               1           69400            1000             102               1
001_14:37:20                  0               1           69400            1000              82               1
001_14:41:10                  0               1           40420            1000              82               1
001_14:42:10                  0               1           40420            1000             126               1
001_14:45:50                  0               1           15600            1000             126               1
001_14:53:20                  0               1           15600            1000             126               1
001_14:56:50                  0               1               0            1000             126               1
001_16:20:20                  0               1           15600            1000             126               1
001_16:23:10                  0               1           15600            1000             126               1
001_16:29:20                  0               1           15600            1000             126               1
001_16:31:30                  0               1           40420            1000             126               1
001_16:35:30                  0               1           40420            1000              82               1
001_16:36:30                  0               1           69400            1000              82               1
001_16:40:30                  0               1           69400            1000             102               1
001_16:41:10                  0               1          133340            1000             102               1
001_16:58:30                  0               1           69400            1000             102               1
001_16:59:10                  0               1           69400            1000              82               1
001_17:03:00                  0               1           40420            1000              82               1
001_17:03:50                  0               1           40420            1000             126               1
001_17:07:30                  0               1           15600            1000             126               1
001_17:09:20                  0               1           15600            1000             102               1
001_17:13:00                  0               1           15600            1000             182               1
001_17:15:00                  0               1           15600            1000             182               1
001_17:18:30                  0               1               0            1000             182               1
001_18:42:00                  0               1           15600            1000             182               1
001_18:44:50                  0               1           15600            1000             182               1
001_18:47:10                  0               1           15600            1000             102               1
001_18:51:10                  0               1           15600            1000             126               1
001_18:53:10                  0               1           40420            1000             126               1
001_18:57:10                  0               1           40420            1000              82               1
001_18:58:10                  0               1           69400            1000              82               1
001_19:02:20                  0               1           69400            1000             102               1
001_19:02:50                  0               1          133340            1000             102               1
001_19:20:20                  0               1           69400            1000             102               1
001_19:20:50                  0               1           69400            1000              82               1
001_19:24:40                  0               1           40420            1000              82               1
001_19:25:30                  0               1           40420            1000             126               1
001_19:29:10                  0               1           15600            1000             126               1
001_19:36:50                  0               1           15600            1000             126               1
001_19:40:20                  0               1               0            1000             126               1
001_21:03:50                  0               1           15600            1000             126               1
001_21:06:30                  0               1           15600            1000             126               1
001_21:12:50                  0               1           15600            1000             126               1
001_21:15:00                  0               1           40420            1000             126               1
001_21:19:00                  0               1           40420            1000              82               1
001_21:19:50                  0               1           69400            1000              82               1
001_21:24:00                  0               1           69400            1000             102               1
001_21:24:40                  0               1          133340            1000             102               1
001_21:42:00                  0               1           69400            1000             102               1
001_21:42:30                  0               1           69400            1000              82               1
001_21:46:20                  0               1           40420            1000              82               1
001_21:47:20                  0               1           40420            1000             126               1
001_21:51:00                  0               1           15600            1000             126               1
001_21:52:50                  0               1           15600            1000             102               1
001_21:56:30                  0               1           15600            1000             182               1
