#
# Output Filename: power_avg.out
# Generation Time: 25-November-2013_15:18:01 (UTC)
# File Contents:   Average Power Values
#
# EPS Version:     v2.5.8
#
# CFG Template:    v3.19
# EDF Template:    v3.12
# ITL Template:    v3.10
# EVF Template:    v3.1
#
# POR Definition:  CRID issue C4
# EVF (ESOC FD):   DDID appendix-H v2.1
#
# Input Timeline:  BC_SO10_FULL_________ITL_GEN_1A.itl
# Input CFG:       eps_mac.cfg
# Input EDF:       bepi.edf
# MDB version:     SISBCETB "ETB (1, 0, 38)"
# Input EVF:       bepi_events_mpo_00012.evf
#

Ref_date: 7-May-2024

Elapsed time        Total         ANTENNA            SSMM            BELA             ISA          MERMAG          MERTIS            MGNS            MORE          PHEBUS          SERENA   SIMBIOSYS_STC  SIMBIOSYS_HRIC  SIMBIOSYS_VIHI       MIXS_SIXS
ddd_hh:mm:ss      (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
000_00:00:00       18.350           0.000           0.000          13.470           0.000           4.880           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
001_00:00:00      163.340           0.000           0.000          43.900          12.870           4.880          12.900           5.000           0.000           0.000          37.200           6.180           0.000          11.210          29.200
002_00:00:00      163.340           0.000           0.000          43.900          12.870           4.880          12.900           5.000           0.000           0.000          37.200           6.180           0.000          11.210          29.200
003_00:00:00      148.640           0.000           0.000          43.900          12.870           4.880           9.000           5.000           0.000          24.000           2.400           6.180           0.000          11.210          29.200
004_00:00:00      105.820           0.000           0.000          13.470          12.870           4.880           9.000           5.000           0.000           0.000          34.300           0.000           0.000           0.000          26.300
005_00:00:00      134.680           0.000           0.000          13.470          12.870           5.630           9.000           5.000           0.000          22.500          37.200           0.000           0.000           2.710          26.300
006_00:00:00      135.430           0.000           0.000          13.470          12.870           4.880           9.000           5.000           0.000          24.000          37.200           0.000           0.000           2.710          26.300
007_00:00:00      180.540           0.000           0.000          43.900          12.870           4.880           9.000           5.000           0.000          24.000          34.300           6.180           0.000          11.210          29.200
008_00:00:00      160.440           0.000           0.000          43.900          12.870           4.880          12.900           5.000           0.000           0.000          34.300           6.180           0.000          11.210          29.200
009_00:00:00      156.540           0.000           0.000          43.900          12.870           4.880           9.000           5.000           0.000           0.000          34.300           6.180           0.000          11.210          29.200
010_00:00:00      127.420           0.000           0.000          13.470          12.870           4.880           9.000           5.000           0.000          22.500          33.400           0.000           0.000           0.000          26.300
011_00:00:00      104.920           0.000           0.000          13.470          12.870           4.880           9.000           5.000           0.000           0.000          33.400           0.000           0.000           0.000          26.300
012_00:00:00      104.920           0.000           0.000          13.470          12.870           4.880           9.000           5.000           0.000           0.000          33.400           0.000           0.000           0.000          26.300
013_00:00:00      163.150           0.000           0.000          43.900          12.870           4.880           9.000           5.000           0.000          24.000          34.300           0.000           0.000           0.000          29.200
014_00:00:00      167.050           0.000           0.000          43.900          12.870           4.880           9.000           5.000           0.000          25.000          37.200           0.000           0.000           0.000          29.200
015_00:00:00      142.050           0.000           0.000          43.900          12.870           4.880           9.000           5.000           0.000           0.000          37.200           0.000           0.000           0.000          29.200
016_00:00:00      175.220           0.000           0.000          22.770          12.870           4.880           9.000           5.000          37.000          24.000          33.400           0.000           0.000           0.000          26.300
